,ind,area,ratio_low,ratio_high,ratio_fit_low,ratio_fit_high,slope_low,slope_high,ratio_fit_diff,ratio_fit_ratio,p
461,62,1,0.10198331912800021,0.21011030307953402,0.10142113359999924,0.21043435926419257,0.00010367956251754011,5.167473656305312e-05,0.10901322566419333,2.0748571012244548,0.0012608784986629631
315,57,0,0.08295096490028259,0.1901441324566246,0.0833377368581839,0.18904800464515126,0.0003655681972765867,5.025178626884743e-05,0.10571026778696736,2.2684561853036023,0.001270312801490504
55,30,0,0.02956038819654613,0.06222922366340394,0.02961753050608819,0.062052780069763586,7.522761542419415e-05,-2.456281406566505e-06,0.0324352495636754,2.0951368668973935,0.0012806416067981507
17,96,2,0.1289264553249851,0.17509798495481854,0.13007345826828234,0.17391833514531815,0.00030490529713899484,1.2011670670796786e-05,0.04384487687703581,1.3370778132661298,0.001303602174933071
395,12,0,0.24182860685055832,0.2995262882305925,0.24248895102361634,0.29872927746450956,0.00020990945205805693,1.6497884800785026e-05,0.05624032644089322,1.2319294392733626,0.0013558597107996059
382,77,2,0.10947962960759211,0.24802622357837126,0.10863884229590726,0.2488078677396759,-1.0982446799615087e-05,0.0001103842581946068,0.14016902544376864,2.290229373597156,0.001359374261246752
30,75,0,0.07854591601709031,0.19434620753451148,0.07761754081414303,0.19411910361556636,0.00027782832412742155,0.00011328655176938379,0.11650156280142333,2.500969517707202,0.0013682566976335258
190,11,0,0.15621224407872816,0.2564851845018325,0.157016992831818,0.25487333295328946,0.0004507813646600011,5.932794527520158e-05,0.09785634012147146,1.6232213364720727,0.0013743451912914706
57,30,2,0.1120042665969106,0.2290482810729353,0.1147650737562343,0.2281649512198691,0.0001596339721293684,7.640510435409998e-05,0.1133998774636348,1.9881044271752986,0.0013836941839433612
388,84,3,0.03184627651488962,0.08180630785735575,0.031187371155805246,0.08241287474631033,4.47234479164837e-06,4.1047409293640337e-05,0.05122550359050508,2.6425079027851925,0.0013873399657681827
365,36,0,0.08134543144943214,0.1850654902033606,0.08074996960969685,0.1851845173209706,0.00021601814882098963,6.211392581441566e-05,0.10443454771127375,2.2933075791366333,0.001401083836333511
459,33,4,0.06796571638119235,0.15721252736807037,0.06855240622096599,0.15638655431315537,0.0003151915192712111,5.41814453989305e-05,0.08783414809218938,2.2812700958894463,0.0014558744503653802
110,93,0,0.11410619596512626,0.18854185803181125,0.1144768942668317,0.18859338166418674,2.7806013317789838e-05,7.364698606196161e-05,0.07411648739735503,1.64743621734355,0.00145763948247638
198,40,3,0.11860437201183004,0.1788554719768139,0.11798738373044868,0.17822330710955295,0.00023607790029062418,4.237367759012898e-05,0.06023592337910427,1.51052851139337,0.0015188690527211152
410,66,0,0.15558382991375777,0.31708005693002106,0.1544452838516507,0.3168191194820984,0.0002467458642754003,6.789234299462594e-05,0.1623738356304477,2.051335667759286,0.0015310925977215341
275,19,0,0.16444568460854872,0.308611287130381,0.16358986033424194,0.3092787824104161,3.856779315936119e-05,7.77551150149888e-05,0.14568892207617418,1.8905742799615264,0.0015472117598562232
257,49,2,0.14347773154428844,0.22293021817798406,0.14179791368144865,0.22369230063600717,3.435332919575165e-05,5.028227735647653e-05,0.08189438695455853,1.577542961164687,0.0015479107060912213
244,79,4,0.06166034617497877,0.12147290936098201,0.06192498382867531,0.12103071201466503,9.0386367921413e-05,3.398118830238478e-05,0.05910572818598972,1.9544730499973084,0.0015633353693658533
129,44,4,0.03575069528756126,0.07672207723712181,0.035751643619743145,0.07726619410310578,-6.217432138613551e-05,2.4012436182616708e-05,0.04151455048336264,2.161192781090407,0.0015665239600170227
232,38,2,0.1011642475082024,0.1849978500642161,0.09971157564147796,0.18468021316776853,0.00010822153979155578,3.905559878602132e-05,0.08496863752629057,1.852144166609131,0.001570924746454656
485,72,0,0.07203683925175748,0.16024835201208845,0.0722357214565033,0.1601300954075535,9.22911085558038e-05,4.2272149793091896e-05,0.0878943739510502,2.2167715941478585,0.0015783340448316736
268,58,3,0.11962064514249861,0.22742499557304527,0.11916133930611758,0.2272469948929919,0.0001936693257934454,6.212716429587737e-05,0.10808565558687433,1.9070530443536677,0.001599798504031788
399,12,4,0.09609918775943987,0.1207990018595996,0.10064229385631801,0.11832520107245437,0.000335529065288661,1.190743698612717e-05,0.017682907216136357,1.1757005582700784,0.0016530006572724229
286,68,1,0.21444418725954778,0.35300923943235984,0.21572273953159654,0.35022399582797187,0.000653196300580279,8.671576761669492e-05,0.13450125629637533,1.6234913231142012,0.0016567288134665533
